2324,5398,5975,13667,856,1979,2177,5000
1575,3656,4039,9250,1629,3782,4182,9572
807,1863,2047,4706,38,71,57,163
2807,6533,7239,16543,410,941,1024,2368
2045,4757,5263,12039,1185,2749,3034,6952
1271,2948,3254,7455,1961,4559,5047,11540
497,1142,1246,2876,36,66,52,152
2507,5837,6465,14777,728,1683,1850,4251
1750,4073,4505,10306,1523,3544,3919,8966
969,2250,2478,5684,2318,5406,5990,13686
2860,6676,7400,16902,273,622,670,1561
2246,5246,5810,13277,1073,2497,2755,6311
1451,3382,3737,8552,1870,4366,4833,11048
654,1515,1661,3821,35,65,51,149
2764,6474,7177,16386,611,1418,1556,3577
1955,4573,5063,11571,1422,3324,3676,8406
1146,2675,2952,6760,2258,5294,5868,13399
2976,6985,7749,17682,133,297,309,736
2466,5783,6410,14636,956,2233,2463,5642
1645,3855,4264,9749,1780,4172,4620,10555
823,1919,2112,4845,35,65,51,147
2958,6946,7703,17580,471,1092,1193,2750
2137,5013,5554,12684,1297,3036,3357,7676
1311,3070,3391,7759,2120,4973,5512,12584
487,1129,1233,2842,34,64,50,146
2655,6242,6922,15797,818,1911,2105,4825
1821,4277,4734,10816,1654,3883,4300,9823
986,2307,2544,5827,2491,5856,6495,14821
3023,7112,7891,18001,325,750,813,1883
2343,5517,6117,13959,1184,2782,3076,7031
1509,3551,3929,8978,2039,4803,5326,12152
657,1537,1687,3875,34,64,50,144
